Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Payment_Method,Order_Status,Customer_Name,City,Region,Membership_Type,Product_Name,Category,Unit_Price,Brand,Order_Month,Order_Day,Order_Day_Name,Total_Sales
O0001,2026-02-19,C027,P019,2,Credit Card,Delivered,Harsh Vardhan,Noida,North,Premium,Cricket Bat,Sports,2499,BatPro,2,19,Thursday,4998
O0002,2026-01-25,C006,P003,2,Debit Card,Delivered,Ishita Gupta,Bengaluru,South,Premium,Wireless Mouse,Electronics,899,TechGear,1,25,Sunday,1798
O0003,2026-02-26,C015,P004,1,Cash on Delivery,Delivered,Karan Joshi,Chandigarh,North,Regular,Smart Watch,Electronics,3299,FitTech,2,26,Thursday,3299
O0004,2026-03-04,C024,P015,3,Net Banking,Delivered,Maryam Khan,Hyderabad,South,Regular,Machine Learning Basics,Books,999,AIPress,3,4,Wednesday,2997
O0005,2026-03-29,C025,P009,5,Credit Card,Delivered,Reyansh Jain,Kolkata,East,New,Coffee Maker,Home & Kitchen,3499,HomeBrew,3,29,Sunday,17495
O0006,2026-02-09,C003,P018,3,UPI,Delivered,Rohan Mehta,Mumbai,West,Premium,Football,Sports,799,SportZone,2,9,Monday,2397
O0007,2026-02-10,C011,P003,3,UPI,Delivered,Vivaan Kapoor,Jaipur,North,New,Wireless Mouse,Electronics,899,TechGear,2,10,Tuesday,2697
O0008,2026-03-27,C020,P005,4,Debit Card,Delivered,Priya Menon,Chennai,South,Premium,Power Bank,Electronics,1199,VoltPlus,3,27,Friday,4796
O0009,2026-03-13,C024,P009,2,UPI,Cancelled,Maryam Khan,Hyderabad,South,Regular,Coffee Maker,Home & Kitchen,3499,HomeBrew,3,13,Friday,6998
O0010,2026-03-05,C026,P005,2,Debit Card,Shipped,Fatima Noor,Srinagar,North,Regular,Power Bank,Electronics,1199,VoltPlus,3,5,Thursday,2398
O0011,2026-01-26,C022,P020,2,Net Banking,Cancelled,Alina Shah,Pune,West,New,Dumbbell Set,Sports,1999,StrongFit,1,26,Monday,3998
O0012,2026-02-03,C017,P008,5,Credit Card,Delivered,Dev Patel,Ahmedabad,West,Premium,Sneakers,Clothing,2999,StepUp,2,3,Tuesday,14995
O0013,2026-03-22,C005,P009,3,Cash on Delivery,Delivered,Kabir Ali,Lucknow,North,New,Coffee Maker,Home & Kitchen,3499,HomeBrew,3,22,Sunday,10497
O0014,2026-02-20,C007,P010,4,UPI,Shipped,Aditya Verma,Pune,West,Regular,Electric Kettle,Home & Kitchen,1499,KitchenPro,2,20,Friday,5996
O0015,2026-02-16,C027,P011,3,Credit Card,Cancelled,Harsh Vardhan,Noida,North,Premium,Air Fryer,Home & Kitchen,4999,CookSmart,2,16,Monday,14997
